Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;;
A0293130VTX2ZXA70JQS;972683275;Ron Parshall;[0, 0];Works great. Instructions were straightforward and easy to follow. Buying a second one just in case I need it in the future.;5.0;great hanger, great price;1353888000;11 26, 2012;;
A030530627MK66BD8V4LN;972683275;Mary Rodriguez;[0, 0];My boyfriend and I spent hours looking for the one I wanted. We came across this one and it was cheap!  After reading lots of reviews I didn't expect much from it, but it is perfect. It's holding my 32 inch Vizio  tv in my bedroom perfectly. My boyfriend did tighten lots of different bolts on it after it was up so it would be completely level. I think the people that say it sags didn't do this. He did use his own level and not the one it came with. I helped him when he did this. I held the tv in the position that made it level and he tightened lots of stuff until it held it there. I have had it up for a couple months with no problem. I love it. Perfect for the price. The hardest part was finding the stud. My apt complex had them every 22 inches on the wall I wanted it on:/;4.0;Amazing product for the price. && how to keep it from not sagging.;1359676800;02 1, 2013;;
A1038957GWRBP375RU5T;972683275;leo;[0, 0];Awesome price and quality. Simple and easy to install and fully equipped for installation. If you need a swing arm mount for medium size tv this is one I'd recommend.;5.0;Great item;1353542400;11 22, 2012;;
A106YUCY4SVX1D;972683275;Chris;[0, 0];This stand fit perfectly in my brothers room. His tv was just sitting on top of his burow taking up space, so I bought this to create more room and it was just what he needed. Having the adjustable arms make it easy to swing the tv around to different angles and such. Well worth the $25.00;5.0;Very well worth the money.;1310083200;07 8, 2011;;
A1079KKA0AXSL3;972683275;Bill Fox;[0, 0];when i first bought this didn't think it was really gonna work.  I have a 32 inch tv though and this has been holding it for over two months and its still steady and equipped.  When you move the tv from side to side it shakes a little bit, but this is a good product for the price.  I am very pleased;4.0;does the job;1326067200;01 9, 2012;;
A108UXJTIV8XXY;972683275;Bryan67;[0, 0];"My daughter came home from college and arranged her bedroom like her dorm room with a sitting area and a sleeping area. She likes to watch the one TV in both areas and this worked out perfect.  Adjusts easy and fit our 32&#34; flat screen without a problem.";5.0;"Great for a bedroom 32\ LED LCD""";1404864000;07 9, 2014;;
A10MC5C359B1T7;972683275;Kyle Lindsey;[0, 0];This mount was a bargain and quality at the same time!  Easy to install and easy to hang the tv. The only thing I would recommend is to buy separate drywall mounts. I didn't feel comfortable using the ones that came with it, instead I bought 75lb mounts from my local hardware store and used them. Other than that, I love the mount!;5.0;Great mount!;1360195200;02 7, 2013;;
A10MF6OJK61N22;972683275;randy;[0, 0];2nd time i ordered this one . shipping much better this time. no problems. easy install. but be aware when you fold the mount flat there is a 1-2 inch difference between folding right or folding the mount left.;4.0;swing mount;1365552000;04 10, 2013;;
A10S9NK38WEQ65;972683275;John Vesik;[0, 0];"Very concerned over hanging a 46&#34; tv on the wall.  Got this mount due to low price.  Very impressed.  No doubt it will handle a 30# TV.  Allows full 90 degree rotation with 21&#34; from wall to centerline at maximum extension.";4.0;Very sturdy.  As advertised;1389052800;01 7, 2014;;
A10TQRXANRYQ6D;972683275;JT;[0, 0];"Great product for a great price and very easy to install. Installed a 32\ and it looks good and works as described.""";5.0;Great Deal;1291161600;12 1, 2010;;
A10VA0KMZWDYS2;972683275;shorty6931;[0, 0];Lil complicated to put together but over all works, looks and feels great. Extends really far away from the wall;4.0;great;1379289600;09 16, 2013;;
A110S8IJ3ZID0D;972683275;Jake;[0, 0];"We bought this for a 55&#34; Vizio and it worked perfectly. I would buy it again and recommend it. Good quality.";5.0;"Worked great for 55\ Vizio""";1388620800;01 2, 2014;;
A111UHA2H22XE7;972683275;Joe Halaby;[0, 0];Very happy with product very easy to install with all parts and instruction at my disposal .  Great price and shipping time was unbeatable , I would highly recommend to all family and friends !  thanks;5.0;Great;1387497600;12 20, 2013;;
A114A5MIHM3R6L;972683275;Robert S Jones;[0, 0];Easy to follow, simple instructions.  Sturdy installation, plenty of movement.  Liked it so much I bought two more for other TVs.;5.0;Great product, very easy to insall.;1384732800;11 18, 2013;;
A114Z5X6UH93GT;972683275;Ryan P Muller;[0, 0];"Purchased for my sister to hang her TV on a wall and she and her boyfriend reported back to me that mount works great with the 42&#34; Vizio TV she got for Christmas and was up securely in no time.  I looked around in the retail stores and found that this mount was of similar quality at a much lower price.  What can I say, it does what it is supposed to do, was easy to setup, and is of good value.";5.0;Great price compared to brick and mortar stores and seems to be good quality too.;1358553600;01 19, 2013;;
